preset_id,approach,flagged,flag_reasons,contact_to_mesh_mm,contact_to_centerline_mm,target_depth_mm,target_lateral_offset_mm,target_in_sector,target_in_forward_hemisphere,station_overlap_fraction_in_fan,nUS_delta_deg_from_voxel_baseline,contact_delta_mm_from_voxel_baseline,contact_refinement_ambiguity,cutaway_side,cutaway_mode,vessel_overlay_names,diagnostic_panel_png,clean_simulated_png,review_json,warnings
station_2l_node_a,default,False,,0.19617090505236165,5.896050982456939,4.202841193642756,-0.748817590678073,True,True,0.03127670251868329,7.008063063063497,0.30676205382940097,False,auto,lateral,"aorta,left_common_carotid_artery,left_subclavian_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_2l_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_2l_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_2l_node_a_review.json,
station_2r_node_a,default,True,nUS delta 20.23 deg > 10.0 deg,0.23357873650851538,6.576146791751888,5.945695085773425,-0.45829297034695005,True,True,0.0694706289248464,20.228677561253093,0.23357873650851538,False,auto,lateral,"superior_vena_cava,brachiocephalic_trunk,right_common_carotid_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_2r_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_2r_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_2r_node_a_review.json,Contact projects 6.35 mm away from the main centerline.
station_4l_node_a,default,True,nUS delta 16.38 deg > 10.0 deg,0.0558241666091229,4.636310269657739,11.702691266469403,-2.3164095325255003,True,True,0.34164304412103785,16.37899416247417,0.5538156905560541,False,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_a_review.json,
station_4l_node_b,default,False,,0.03262127816559435,4.923541659755715,21.47371339410676,5.670181339087949,True,True,0.3320538729672178,8.989640254651427,1.1092407785514256,False,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_b_review.json,
station_4l_node_c,default,False,,0.035760946730570085,4.853148616668326,14.251453810403568,5.337228654516279,True,True,0.13521138222409093,0.8551052451097562,0.035760946730570085,False,left,lateral,"aorta,pulmonary_artery,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_c_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_c_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4l_node_c_review.json,
station_4r_node_a,default,False,,0.05488634557505507,6.31999617896946,10.33685045124368,-4.797955361781156,True,True,0.1908204370057915,3.6492845677704757,0.05488634557505507,False,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_a_review.json,
station_4r_node_b,default,True,contact refinement remained ambiguous,0.23040319619918848,6.318684999261135,10.098832538613479,-5.148093615090742,True,True,0.19780547681373678,6.7884652113566935,0.23040319619918848,True,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_b_review.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_4r_node_c,default,False,,0.1769943010458593,5.757359028213906,7.3791804535503855,-0.782083185546051,True,True,0.08429518913860218,7.440413621609189,0.6758545106661423,False,right,lateral,"superior_vena_cava,azygous,pulmonary_artery",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_c_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_c_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_4r_node_c_review.json,
station_7_node_a,lms,True,nUS delta 15.00 deg > 10.0 deg | target not in displayed fan sector,0.09703513957860861,4.157763768659648,7.079993186837319,-15.94672303529539,False,True,0.30353049681943334,15.00484803427674,0.4076628088302039,False,left,lateral,"left_atrium,pulmonary_artery,aorta",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_7_node_a_lms_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_7_node_a_lms_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_7_node_a_lms_review.json,
station_7_node_a,rms,False,,0.19221097287123254,4.321017586336224,12.294288614807211,-5.598121649940108,True,True,0.43235361933567523,2.5024690780128362,1.3108165583430835,False,right,lateral,"left_atrium,pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_7_node_a_rms_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_7_node_a_rms_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_7_node_a_rms_review.json,
station_10r_node_a,default,False,,0.12653614025917256,5.086286752433464,16.10949551027935,-1.605726882778938,True,True,0.25398418532734746,5.339151284637525,0.6263696743868383,False,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_10r_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_10r_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_10r_node_a_review.json,
station_10r_node_b,default,False,,0.08989841074204595,5.092392105751235,9.184919104789461,2.148515656101151,True,True,0.12346566479946833,2.9049015747126825,1.0420124022358168,False,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_10r_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_10r_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_10r_node_b_review.json,
station_11l_node_a,default,True,nUS delta 44.72 deg > 10.0 deg | contact delta 2.38 mm > 1.5 mm | station overlap 0.0000 < 0.0030,0.18394568189597296,2.723992464924974,7.552264257671337,-0.6443288946858082,True,True,0.0,44.71896254841585,2.3816495079140934,False,left,lateral,"pulmonary_artery,pulmonary_venous_system,left_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11l_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11l_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11l_node_a_review.json,
station_11ri_node_a,default,True,nUS delta 13.10 deg > 10.0 deg | contact delta 2.11 mm > 1.5 mm | contact refinement remained ambiguous,0.020584245976568157,2.4251532629560484,18.039485087091535,3.9659718921449585,True,True,0.049885391094413326,13.10019224074777,2.108564655030162,True,right,lateral,"pulmonary_artery,right_atrium",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11ri_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11ri_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11ri_node_a_review.json,Voxel contact refinement was ambiguous; the best airway-wall candidate was chosen deterministically.
station_11rs_node_a,default,True,nUS delta 13.15 deg > 10.0 deg | target not in displayed fan sector,0.008489606370167324,5.6540880987604485,5.147757977564993,6.540566905620878,False,True,0.127168414056884,13.154575804045765,1.109802275186132,False,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11rs_node_a_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11rs_node_a_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11rs_node_a_review.json,Contact is 2.28 mm from the airway surface.
station_11rs_node_b,default,True,contact delta 1.76 mm > 1.5 mm | contact refinement remained ambiguous,0.05826025628982247,4.073317808994944,18.129519441678593,3.0940773008334053,True,True,0.172008300668665,5.213835267551767,1.7618912923257024,True,right,lateral,"pulmonary_artery,azygous",/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11rs_node_b_panel.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11rs_node_b_clean.png,/Users/russellmiller/Projects/EBUS_simulator/reports/preset_review_20260316/approaches/station_11rs_node_b_review.json,Mesh contact refinement was ambiguous; the best raw-mesh candidate was chosen deterministically.
