preset_id,approach,mode,output_image_path,sidecar_path,image_width,image_height,sector_angle_deg,max_depth_mm,roll_deg,overlays_enabled,airway_overlay_enabled,target_overlay_enabled,station_overlay_enabled,vessel_overlay_names,warnings_count
station_2l_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_2l_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_2l_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_2r_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_2r_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_2r_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",1
station_4l_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4l_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4l_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_4l_node_b,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4l_node_b.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4l_node_b.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_4l_node_c,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4l_node_c.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4l_node_c.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_4r_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4r_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4r_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_4r_node_b,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4r_node_b.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4r_node_b.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_4r_node_c,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4r_node_c.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_4r_node_c.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_7_node_a,lms,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_7_node_a_lms.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_7_node_a_lms.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_7_node_a,rms,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_7_node_a_rms.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_7_node_a_rms.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_10r_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_10r_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_10r_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_10r_node_b,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_10r_node_b.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_10r_node_b.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_11l_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11l_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11l_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_11ri_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11ri_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11ri_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
station_11rs_node_a,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11rs_node_a.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11rs_node_a.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",1
station_11rs_node_b,default,debug,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11rs_node_b.png,/Users/russellmiller/Projects/EBUS_simulator/reports/renders/all_debug/station_11rs_node_b.json,512,512,60.0,40.0,0.0,"airway,target,station,aorta,azygous,superior_vena_cava",True,True,True,"aorta,azygous,superior_vena_cava",0
